代號,公司,扣抵稅率,配息,除息日,配股,除權日,股價,現金殖利率,殖利率,還原殖利率,發息日,配息率,董監持股,3年平均股利,6年平均股利,10年平均股利,10年股利次數,1QEPS,2QEPS,3QEPS,今年累積EPS,去年EPS,本益比,股價淨值比,5%每萬元買抵稅,5%持有一張抵稅,12%萬買,12%一張,20%萬買,20%一張,30%萬買,30%一張,多少張以上要繳健保費,一張繳健保費,
0050,台灣50,0%,0.85,07/28,0,,68.55,1.24%,1.24%,1.24%,08/30,0%,0%,1.47,1.59,1.73,10,0,0,0,0,0,0,0,-6.2,-42.5,-14.88,-102,-24.8,-170,-37.2,-255,23.5294,16.24,
0057,FB摩台,0%,1.685,08/02,0,,42.69,3.95%,3.95%,3.95%,09/01,0%,0%,0,0,0,,0,0,0,0,0,0,0,-19.74,-84.25,-47.36,-202.2,-78.94,-337,-118.41,-505.5,11.8694,32.18,
1101,台泥,7.07%,1.33,07/25,0,,33.9,3.92%,3.92%,4.07%,08/26,85.26%,12.04%,2.04,1.99,1.88,10,0.06,0,0,0.06,1.56,24.04,1.16,-6.44,-21.84,-34.88,-118.23,-67.37,-228.39,-107.99,-366.09,14.5242,26.3,
1102,亞泥,8.45%,1.1,,0,,29.2,3.77%,3.77%,3.93%,,70.97%,29.36%,1.77,1.98,2.14,10,0.06,0,0,0.06,1.55,27.29,0.77,-3.72,-10.85,-31.2,-91.1,-62.61,-182.82,-101.87,-297.47,17.4448,21.9,
1104,環泥,5.98%,1,07/25,0.1,07/25,21.45,4.66%,5.13%,5.29%,08/26,49.55%,34.81%,1.14,0.96,0.8,9,0.55,0,0,0.55,2.22,9.13,0.83,-11.07,-23.75,-48.05,-103.06,-90.3,-193.69,-143.11,-306.98,17.654,21.64,
1108,幸福,22.16%,0.85,07/20,0,,9.38,9.06%,9.06%,10.19%,08/19,73.28%,9.1%,0.63,0.32,0.28,6,0.26,0,0,0.26,1.16,9.11,0.77,50.08,46.97,-20.39,-19.12,-100.91,-94.66,-201.57,-189.07,21.1824,18.03,
1109,信大,33.14%,0.2,07/11,0,,10.15,1.97%,1.97%,2.36%,08/05,500%,30.25%,0.53,0.44,0.43,10,-0.03,0,0,-0.03,0.04,-1015,0.71,21.17,21.48,5.09,5.16,-13.29,-13.49,-36.26,-36.8,85.7854,4.45,
1110,東泥,23.14%,0.2,07/21,0,,15.3,1.31%,1.31%,1.48%,08/11,80%,27.52%,0.2,0.15,0.18,9,0.21,0,0,0.21,0.25,38.25,0.99,7.83,11.98,-2.38,-3.64,-14.04,-21.49,-28.63,-43.8,89.6298,4.26,
1203,味王,5.79%,1,,0,,21.8,4.59%,4.59%,4.72%,,89.29%,22.03%,1,0.72,0.68,8,0.37,0,0,0.37,1.12,21.8,1.2,-10.32,-22.5,-43.36,-94.52,-81.12,-176.84,-128.32,-279.74,19.4373,19.65,
1210,大成,23.36%,0.7,,0,,27.05,2.59%,2.59%,2.93%,,80.46%,12.4%,1.9,1.71,1.72,10,0.73,0,0,0.73,0.87,19.89,1.31,15.78,42.67,-4.46,-12.05,-27.58,-74.59,-56.48,-152.77,25.5833,14.93,
1213,大飲,32.1%,0,,1,07/19,17.15,0%,5.83%,6.95%,,312.5%,13.51%,0.33,0.17,0.1,1,0.1,0,0,0.1,0.32,85.75,1.29,59.75,102.48,12.38,21.24,-41.75,-71.6,-109.42,-187.65,17.234,22.17,
1215,卜蜂,20.48%,2,07/05,0,,37,5.41%,5.41%,6.02%,08/03,77.82%,10%,1.77,1.23,1.07,10,0.95,0,0,0.95,2.57,12.89,1.75,25.56,94.56,-16.16,-59.78,-63.83,-236.16,-123.42,-456.64,9.0711,42.11,
1216,統一,2.48%,2,08/04,0,,65.2,3.07%,3.07%,3.11%,09/09,80.65%,13.11%,1.96,1.93,1.79,10,0.76,0,0,0.76,2.48,26.18,3.7,-11.72,-76.44,-33.46,-218.18,-58.31,-380.16,-89.36,-582.64,9.8775,38.67,
1217,愛之味,0%,0,,0.15,,8.16,0%,1.84%,1.84%,,150%,7.73%,0.05,0.03,0.02,1,-0.07,0,0,-0.07,0.1,51,0.75,-9.19,-7.5,-22.06,-18,-36.76,-30,-55.15,-45,133.3333,2.87,
1219,福壽,28.31%,0.25,07/13,0,,15.3,1.63%,1.63%,1.9%,08/03,80.65%,9.4%,0.25,0.47,0.43,9,0.13,0,0,0.13,0.31,42.5,1.27,13.8,21.12,0.75,1.14,-14.18,-21.69,-32.83,-50.23,70.0802,5.45,
1220,台榮,17.54%,0.5,07/07,0,,10.5,4.76%,4.76%,5.22%,08/05,74.63%,20.89%,0.38,0.26,0.16,4,0.19,0,0,0.19,0.67,12.07,0.85,15.86,16.66,-20.39,-21.41,-61.83,-64.92,-113.62,-119.31,36.7748,10.39,
1225,福懋油,20.67%,1,,0,,51.2,1.95%,1.95%,2.18%,,39.22%,6.73%,0.5,0.55,0.38,8,0.43,0,0,0.43,2.55,18.03,3.49,9.41,48.18,-5.67,-29.05,-22.91,-117.32,-44.46,-227.66,18.1266,21.07,
